CLIENT,PBM,CLAIM_CNT,LOAD_DATE,SCHEDULE_DT,NOTES
MWP,ESI,232,2024-01-01,2024-01-01,
MWP,ESI,197,2024-01-02,2024-01-02,
MWP,ESI,381,2024-01-03,2024-01-03,
MWP,ESI,294,2024-01-04,2024-01-04,
MWP,ESI,294,2024-01-04,2024-01-04,
MWP,ESI,222,2024-01-05,2024-01-05,
MWP,ESI,204,2024-01-06,2024-01-06,
MWP,ESI,109,2024-01-07,2024-01-07,
MWP,ESI,116,2024-01-08,2024-01-08,
MWP,ESI,225,2024-01-09,2024-01-09,
MWP,ESI,172,2024-01-10,2024-01-10,
MWP,ESI,162,2024-01-11,2024-01-11,
MWP,ESI,162,2024-01-11,2024-01-11,
MWP,ESI,169,2024-01-12,2024-01-12,
MWP,ESI,126,2024-01-13,2024-01-13,
MWP,ESI,0,2024-01-14,2024-01-14,FILE NOT RECEIVED
MWP,ESI,155,2024-01-15,2024-01-15,
MWP,ESI,155,2024-01-15,2024-01-15,
MWP,ESI,133,2024-01-16,2024-01-16,
MWP,ESI,81,2024-01-17,2024-01-17,
MWP,ESI,77,2024-01-18,2024-01-18,
MWP,ESI,77,2024-01-18,2024-01-18,
MWP,ESI,93,2024-01-19,2024-01-19,
MWP,ESI,101,2024-01-20,2024-01-20,
MWP,ESI,41,2024-01-21,2024-01-21,
MWP,ESI,30,2024-01-22,2024-01-22,
MWP,ESI,92,2024-01-23,2024-01-23,
MWP,ESI,87,2024-01-24,2024-01-24,
MWP,ESI,116,2024-01-25,2024-01-25,
MWP,ESI,116,2024-01-25,2024-01-25,
MWP,ESI,96,2024-01-26,2024-01-26,
MWP,ESI,80,2024-01-27,2024-01-27,
MWP,ESI,0,2024-01-28,2024-01-28,FILE NOT RECEIVED
MWP,ESI,40,2024-01-29,2024-01-29,
MWP,ESI,120,2024-01-30,2024-01-30,
MWP,ESI,120,2024-01-30,2024-01-30,
MWP,ESI,61,2024-01-31,2024-01-31,
MWP,ESI,55,2024-02-01,2024-02-01,
MWP,ESI,88,2024-02-02,2024-02-02,
MWP,ESI,88,2024-02-02,2024-02-02,
MWP,ESI,58,2024-02-03,2024-02-03,
MWP,ESI,0,2024-02-04,2024-02-04,FILE NOT RECEIVED
MWP,ESI,42,2024-02-05,2024-02-05,
MWP,ESI,42,2024-02-05,2024-02-05,
MWP,ESI,54,2024-02-06,2024-02-06,
MWP,ESI,52,2024-02-07,2024-02-07,
MWP,ESI,46,2024-02-08,2024-02-08,
MWP,ESI,66,2024-02-09,2024-02-09,
MWP,ESI,66,2024-02-09,2024-02-09,
MWP,ESI,47,2024-02-10,2024-02-10,
MWP,ESI,12,2024-02-11,2024-02-11,
MWP,ESI,14,2024-02-12,2024-02-12,
MWP,ESI,40,2024-02-13,2024-02-13,
MWP,ESI,47,2024-02-14,2024-02-14,
MWP,ESI,183,2024-02-15,2024-02-15,
MWP,ESI,49,2024-02-16,2024-02-16,
MWP,ESI,37,2024-02-17,2024-02-17,
MWP,ESI,0,2024-02-18,2024-02-18,FILE NOT RECEIVED
MWP,ESI,25,2024-02-19,2024-02-19,
MWP,ESI,25,2024-02-19,2024-02-19,
MWP,ESI,99,2024-02-20,2024-02-20,
MWP,ESI,70,2024-02-21,2024-02-21,
MWP,ESI,26,2024-02-22,2024-02-22,
MWP,ESI,26,2024-02-22,2024-02-22,
MWP,ESI,42,2024-02-23,2024-02-23,
MWP,ESI,46,2024-02-24,2024-02-24,
MWP,ESI,0,2024-02-25,2024-02-25,FILE NOT RECEIVED
MWP,ESI,49,2024-02-26,2024-02-26,
MWP,ESI,49,2024-02-26,2024-02-26,
MWP,ESI,50,2024-02-27,2024-02-27,
MWP,ESI,15,2024-02-28,2024-02-28,
MWP,ESI,24,2024-02-29,2024-02-29,
MWP,ESI,24,2024-02-29,2024-02-29,
MWP,ESI,42,2024-03-01,2024-03-01,
PHP,ESI,604,2024-01-01,2024-01-01,
PHP,ESI,479,2024-01-02,2024-01-02,
PHP,ESI,2934,2024-01-03,2024-01-03,
PHP,ESI,2934,2024-01-03,2024-01-03,
PHP,ESI,0,2024-01-04,2024-01-04,FILE NOT RECEIVED
PHP,ESI,2248,2024-01-05,2024-01-05,
PHP,ESI,2248,2024-01-05,2024-01-05,
PHP,ESI,2060,2024-01-06,2024-01-06,
PHP,ESI,1717,2024-01-07,2024-01-07,
PHP,ESI,790,2024-01-08,2024-01-08,
PHP,ESI,644,2024-01-09,2024-01-09,
PHP,ESI,2151,2024-01-10,2024-01-10,
PHP,ESI,2027,2024-01-11,2024-01-11,
PHP,ESI,1766,2024-01-12,2024-01-12,
PHP,ESI,1766,2024-01-12,2024-01-12,
PHP,ESI,1832,2024-01-13,2024-01-13,
PHP,ESI,1373,2024-01-14,2024-01-14,
PHP,ESI,563,2024-01-15,2024-01-15,
PHP,ESI,601,2024-01-16,2024-01-16,
PHP,ESI,1732,2024-01-17,2024-01-17,
PHP,ESI,3809,2024-01-18,2024-01-18,
PHP,ESI,3809,2024-01-18,2024-01-18,
PHP,ESI,3809,2024-01-18,2024-01-18,
PHP,ESI,0,2024-01-19,2024-01-19,FILE NOT RECEIVED
PHP,ESI,1648,2024-01-20,2024-01-20,
PHP,ESI,1629,2024-01-21,2024-01-21,
PHP,ESI,746,2024-01-22,2024-01-22,
PHP,ESI,542,2024-01-23,2024-01-23,
PHP,ESI,1930,2024-01-24,2024-01-24,
PHP,ESI,1768,2024-01-25,2024-01-25,
PHP,ESI,1624,2024-01-26,2024-01-26,
PHP,ESI,1624,2024-01-26,2024-01-26,
PHP,ESI,1650,2024-01-27,2024-01-27,
PHP,ESI,1539,2024-01-28,2024-01-28,
PHP,ESI,591,2024-01-29,2024-01-29,
PHP,ESI,503,2024-01-30,2024-01-30,
PHP,ESI,1879,2024-01-31,2024-01-31,
PHP,ESI,1826,2024-02-01,2024-02-01,
PHP,ESI,1792,2024-02-02,2024-02-02,
PHP,ESI,1792,2024-02-02,2024-02-02,
PHP,ESI,1830,2024-02-03,2024-02-03,
PHP,ESI,1593,2024-02-04,2024-02-04,
PHP,ESI,619,2024-02-05,2024-02-05,
PHP,ESI,491,2024-02-06,2024-02-06,
PHP,ESI,1887,2024-02-07,2024-02-07,
PHP,ESI,1922,2024-02-08,2024-02-08,
PHP,ESI,1838,2024-02-09,2024-02-09,
PHP,ESI,1838,2024-02-09,2024-02-09,
PHP,ESI,1615,2024-02-10,2024-02-10,
PHP,ESI,1591,2024-02-11,2024-02-11,
PHP,ESI,594,2024-02-12,2024-02-12,
PHP,ESI,514,2024-02-13,2024-02-13,
PHP,ESI,2078,2024-02-14,2024-02-14,
PHP,ESI,1819,2024-02-15,2024-02-15,
PHP,ESI,1661,2024-02-16,2024-02-16,
PHP,ESI,1661,2024-02-16,2024-02-16,
PHP,ESI,1618,2024-02-17,2024-02-17,
PHP,ESI,1430,2024-02-18,2024-02-18,
PHP,ESI,719,2024-02-19,2024-02-19,
PHP,ESI,525,2024-02-20,2024-02-20,
PHP,ESI,1896,2024-02-21,2024-02-21,
PHP,ESI,1861,2024-02-22,2024-02-22,
PHP,ESI,1543,2024-02-23,2024-02-23,
PHP,ESI,1543,2024-02-23,2024-02-23,
PHP,ESI,1630,2024-02-24,2024-02-24,
PHP,ESI,1327,2024-02-25,2024-02-25,
PHP,ESI,756,2024-02-26,2024-02-26,
PHP,ESI,675,2024-02-27,2024-02-27,
PHP,ESI,1946,2024-02-28,2024-02-28,
PHP,ESI,1730,2024-02-29,2024-02-29,
PHP,ESI,1734,2024-03-01,2024-03-01,
PHP,ESI,1734,2024-03-01,2024-03-01,
